source_class,file,record_index,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,description,raw_preview
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,674,small_area_45_80,,2026-02-15,אשקלון,כוכב הצפון,אנה פרנק 12,,3.0,64.0,,,,דירה בבית קומות,,,16094.0,,,,"{""dedupeKey"": ""2879-8-4:2026-02-15:1030000"", ""dealDate"": ""2026-02-15"", ""dealAmount"": ""1030000"", ""pricePerSqm"": ""16094"", ""address"": ""אנה פרנק 12"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""כוכב הצפון"", ""rooms"": ""3"", ""floor"": ""ראשונה"", ""area"": ""64"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2879"", ""helka"": ""8"", ""tatHelka"": ""4"", ""parcelNum"": ""2879-8-4"", ""assetId"": ""11344905090"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,677,small_area_45_80,,2026-02-14,אשקלון,מתחם מ-7,דרך הים 31,,3.0,79.0,,,,,,,10099.0,,,,"{""dedupeKey"": ""370-40-190:2026-02-14:797859"", ""dealDate"": ""2026-02-14"", ""dealAmount"": ""797859"", ""pricePerSqm"": ""10099"", ""address"": ""דרך הים 31"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""מתחם מ-7"", ""rooms"": ""3"", ""floor"": ""שלישית"", ""area"": ""79"", ""gush"": ""370"", ""helka"": ""40"", ""tatHelka"": ""190"", ""parcelNum"": ""370-40-190"", ""assetId"": ""11352611072"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,678,small_area_45_80,,2026-02-13,אשקלון,נווה הדרים,העונות 2,,3.0,67.0,,,,דירה בבית קומות,,,17761.0,,,,"{""dedupeKey"": ""2856-42-12:2026-02-13:1190000"", ""dealDate"": ""2026-02-13"", ""dealAmount"": ""1190000"", ""pricePerSqm"": ""17761"", ""address"": ""העונות 2"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""נווה הדרים"", ""rooms"": ""3"", ""floor"": ""ראשונה"", ""area"": ""67"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2856"", ""helka"": ""42"", ""tatHelka"": ""12"", ""parcelNum"": ""2856-42-12"", ""assetId"": ""11344190760"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,680,small_area_45_80,,2026-02-12,אשקלון,שקמים,אליעזר מילרוד 26,,3.0,50.0,,,,דירה בבית קומות,,,13600.0,,,,"{""dedupeKey"": ""1997-13-20:2026-02-12:680000"", ""dealDate"": ""2026-02-12"", ""dealAmount"": ""680000"", ""pricePerSqm"": ""13600"", ""address"": ""אליעזר מילרוד 26"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""שקמים"", ""rooms"": ""3"", ""floor"": ""רביעית"", ""area"": ""50"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1997"", ""helka"": ""13"", ""tatHelka"": ""20"", ""parcelNum"": ""1997-13-20"", ""assetId"": ""11344068180"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,681,small_area_45_80,,2026-02-12,אשקלון,נווה אילן,מגידו 8,,3.0,68.0,,,,דירה בבית קומות,,,10809.0,,,,"{""dedupeKey"": ""2507-11-1:2026-02-12:735000"", ""dealDate"": ""2026-02-12"", ""dealAmount"": ""735000"", ""pricePerSqm"": ""10809"", ""address"": ""מגידו 8"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""נווה אילן"", ""rooms"": ""3"", ""floor"": ""קרקע"", ""area"": ""68"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2507"", ""helka"": ""11"", ""tatHelka"": ""1"", ""parcelNum"": ""2507-11-1"", ""assetId"": ""11344458870"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,684,small_area_45_80,,2026-02-12,אשקלון,גבעת ציון,התחייה 22,,3.0,51.0,,,,דירה בבית קומות,,,23529.0,,,,"{""dedupeKey"": ""1207-158-7:2026-02-12:1200000"", ""dealDate"": ""2026-02-12"", ""dealAmount"": ""1200000"", ""pricePerSqm"": ""23529"", ""address"": ""התחייה 22"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""גבעת ציון"", ""rooms"": ""3"", ""floor"": ""ראשונה"", ""area"": ""51"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1207"", ""helka"": ""158"", ""tatHelka"": ""7"", ""parcelNum"": ""1207-158-7"", ""assetId"": ""11345800500"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,691,small_area_45_80,,2026-02-09,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,78.0,,,,דירה בבית קומות,,,11590.0,,,,"{""dedupeKey"": ""1196-79-226:2026-02-09:904000"", ""dealDate"": ""2026-02-09"", ""dealAmount"": ""904000"", ""pricePerSqm"": ""11590"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""floor"": ""רביעית"", ""area"": ""78"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""226"", ""parcelNum"": ""1196-79-226"", ""assetId"": ""11344360140"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,693,small_area_45_80,,2026-02-09,אשקלון,שקמים,יוספטל 5,,3.0,60.0,,,,דירה בבית קומות,,,12167.0,,,,"{""dedupeKey"": ""1965-21-11:2026-02-09:730000"", ""dealDate"": ""2026-02-09"", ""dealAmount"": ""730000"", ""pricePerSqm"": ""12167"", ""address"": ""יוספטל 5"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""שקמים"", ""rooms"": ""3"", ""floor"": ""שניה"", ""area"": ""60"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1965"", ""helka"": ""21"", ""tatHelka"": ""11"", ""parcelNum"": ""1965-21-11"", ""assetId"": ""11343718620"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,696,small_area_45_80,,2026-02-09,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,79.0,,,,דירה בבית קומות,,,11494.0,,,,"{""dedupeKey"": ""1196-79-226:2026-02-09:908000"", ""dealDate"": ""2026-02-09"", ""dealAmount"": ""908000"", ""pricePerSqm"": ""11494"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""floor"": ""רביעית"", ""area"": ""79"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""226"", ""parcelNum"": ""1196-79-226"", ""assetId"": ""11344485600"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,699,small_area_45_80,,2026-02-09,אשקלון,נווה אילן,אלי כהן 44,,3.0,77.0,,,,דירה בבית קומות,,,7792.0,,,,"{""dedupeKey"": ""2508-27-159:2026-02-09:600000"", ""dealDate"": ""2026-02-09"", ""dealAmount"": ""600000"", ""pricePerSqm"": ""7792"", ""address"": ""אלי כהן 44"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""נווה אילן"", ""rooms"": ""3"", ""floor"": ""שביעית"", ""area"": ""77"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2508"", ""helka"": ""27"", ""tatHelka"": ""159"", ""parcelNum"": ""2508-27-159"", ""assetId"": ""11343888630"", ""scrapedAt"": ""2026-09-05T16:18:44.173Z""}"
