record_type,city,field,before_known,before_total,before_pct,after_known,after_total,after_pct,delta_known,delta_pct_points,remaining_unknown
projects,תל אביב-יפו,area_range_sqm,1,10,10.0,1,10,10.0,0,0.0,9
projects,תל אביב-יפו,parking,3,10,30.0,3,10,30.0,0,0.0,7
projects,תל אביב-יפו,storage,1,10,10.0,1,10,10.0,0,0.0,9
projects,תל אביב-יפו,mamad,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,balcony,4,10,40.0,4,10,40.0,0,0.0,6
projects,תל אביב-יפו,garden,5,10,50.0,5,10,50.0,0,0.0,5
projects,תל אביב-יפו,payment_terms,0,10,0.0,0,10,0.0,0,0.0,10
projects,תל אביב-יפו,promotions,1,10,10.0,2,10,20.0,1,10.0,8
projects,תל אביב-יפו,product_types,10,10,100.0,10,10,100.0,0,0.0,0
projects,תל אביב-יפו,known_unit_variants,4,10,40.0,4,10,40.0,0,0.0,6
competitor_variants,ALL,rooms,14,16,87.5,25,29,86.2,11,-1.3,4
competitor_variants,ALL,unit_type,16,16,100.0,29,29,100.0,13,0.0,0
competitor_variants,ALL,internal_area_sqm,12,16,75.0,17,29,58.6,5,-16.4,12
competitor_variants,ALL,balcony_area_sqm,1,16,6.2,2,29,6.9,1,0.6,27
competitor_variants,ALL,garden_area_sqm,0,16,0.0,1,29,3.4,1,3.4,28
competitor_variants,ALL,floor,4,16,25.0,4,29,13.8,0,-11.2,25
competitor_variants,ALL,floors,0,16,0.0,0,29,0.0,0,0.0,29
competitor_variants,ALL,orientation,0,16,0.0,0,29,0.0,0,0.0,29
competitor_variants,ALL,parking,0,16,0.0,1,29,3.4,1,3.4,28
competitor_variants,ALL,storage,0,16,0.0,1,29,3.4,1,3.4,28
competitor_variants,ALL,mamad,0,16,0.0,0,29,0.0,0,0.0,29
competitor_variants,ALL,price_ils,14,16,87.5,25,29,86.2,11,-1.3,4
competitor_variants,ALL,price_type,16,16,100.0,29,29,100.0,13,0.0,0
competitor_variants,ALL,observed_date,7,16,43.8,20,29,69.0,13,25.2,9
competitor_variants,ALL,source_url,16,16,100.0,29,29,100.0,13,0.0,0
competitor_variants,אשקלון,rooms,3,4,75.0,12,13,92.3,9,17.3,1
competitor_variants,אשקלון,unit_type,4,4,100.0,13,13,100.0,9,0.0,0
competitor_variants,אשקלון,internal_area_sqm,3,4,75.0,7,13,53.8,4,-21.2,6
competitor_variants,אשקלון,balcony_area_sqm,0,4,0.0,1,13,7.7,1,7.7,12
competitor_variants,אשקלון,garden_area_sqm,0,4,0.0,0,13,0.0,0,0.0,13
competitor_variants,אשקלון,floor,1,4,25.0,1,13,7.7,0,-17.3,12
competitor_variants,אשקלון,floors,0,4,0.0,0,13,0.0,0,0.0,13
competitor_variants,אשקלון,orientation,0,4,0.0,0,13,0.0,0,0.0,13
competitor_variants,אשקלון,parking,0,4,0.0,1,13,7.7,1,7.7,12
competitor_variants,אשקלון,storage,0,4,0.0,1,13,7.7,1,7.7,12
competitor_variants,אשקלון,mamad,0,4,0.0,0,13,0.0,0,0.0,13
competitor_variants,אשקלון,price_ils,4,4,100.0,13,13,100.0,9,0.0,0
competitor_variants,אשקלון,price_type,4,4,100.0,13,13,100.0,9,0.0,0
competitor_variants,אשקלון,observed_date,4,4,100.0,13,13,100.0,9,0.0,0
competitor_variants,אשקלון,source_url,4,4,100.0,13,13,100.0,9,0.0,0
competitor_variants,נתניה,rooms,4,5,80.0,5,6,83.3,1,3.3,1
competitor_variants,נתניה,unit_type,5,5,100.0,6,6,100.0,1,0.0,0
competitor_variants,נתניה,internal_area_sqm,3,5,60.0,3,6,50.0,0,-10.0,3
competitor_variants,נתניה,balcony_area_sqm,1,5,20.0,1,6,16.7,0,-3.3,5
competitor_variants,נתניה,garden_area_sqm,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,floor,3,5,60.0,3,6,50.0,0,-10.0,3
competitor_variants,נתניה,floors,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,orientation,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,parking,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,storage,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,mamad,0,5,0.0,0,6,0.0,0,0.0,6
competitor_variants,נתניה,price_ils,4,5,80.0,5,6,83.3,1,3.3,1
competitor_variants,נתניה,price_type,5,5,100.0,6,6,100.0,1,0.0,0
competitor_variants,נתניה,observed_date,2,5,40.0,3,6,50.0,1,10.0,3
competitor_variants,נתניה,source_url,5,5,100.0,6,6,100.0,1,0.0,0
competitor_variants,תל אביב-יפו,rooms,7,7,100.0,8,10,80.0,1,-20.0,2
competitor_variants,תל אביב-יפו,unit_type,7,7,100.0,10,10,100.0,3,0.0,0
competitor_variants,תל אביב-יפו,internal_area_sqm,6,7,85.7,7,10,70.0,1,-15.7,3
competitor_variants,תל אביב-יפו,balcony_area_sqm,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,garden_area_sqm,0,7,0.0,1,10,10.0,1,10.0,9
competitor_variants,תל אביב-יפו,floor,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,floors,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,orientation,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,parking,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,storage,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,mamad,0,7,0.0,0,10,0.0,0,0.0,10
competitor_variants,תל אביב-יפו,price_ils,6,7,85.7,7,10,70.0,1,-15.7,3
competitor_variants,תל אביב-יפו,price_type,7,7,100.0,10,10,100.0,3,0.0,0
competitor_variants,תל אביב-יפו,observed_date,1,7,14.3,4,10,40.0,3,25.7,6
competitor_variants,תל אביב-יפו,source_url,7,7,100.0,10,10,100.0,3,0.0,0
asking,ALL,rooms,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,product_type,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,internal_area,34,35,97.1,41,42,97.6,7,0.5,1
asking,ALL,balcony_area,4,35,11.4,7,42,16.7,3,5.2,35
asking,ALL,garden_area,1,35,2.9,1,42,2.4,0,-0.5,41
asking,ALL,outdoor_area,4,35,11.4,7,42,16.7,3,5.2,35
asking,ALL,floor,34,35,97.1,39,42,92.9,5,-4.3,3
asking,ALL,number_of_levels,1,35,2.9,1,42,2.4,0,-0.5,41
asking,ALL,parking,5,35,14.3,10,42,23.8,5,9.5,32
asking,ALL,storage,3,35,8.6,4,42,9.5,1,1.0,38
asking,ALL,mamad,5,35,14.3,7,42,16.7,2,2.4,35
asking,ALL,orientation,1,35,2.9,2,42,4.8,1,1.9,40
asking,ALL,price,34,35,97.1,41,42,97.6,7,0.5,1
asking,ALL,price_type,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,listing_id,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,observed_date,26,35,74.3,42,42,100.0,16,25.7,0
asking,ALL,direct_url,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,lat,35,35,100.0,42,42,100.0,7,0.0,0
asking,ALL,lng,35,35,100.0,42,42,100.0,7,0.0,0
asking,אשקלון,rooms,13,13,100.0,15,15,100.0,2,0.0,0
asking,אשקלון,product_type,13,13,100.0,15,15,100.0,2,0.0,0
asking,אשקלון,internal_area,12,13,92.3,14,15,93.3,2,1.0,1
asking,אשקלון,balcony_area,3,13,23.1,4,15,26.7,1,3.6,11
asking,אשקלון,garden_area,0,13,0.0,0,15,0.0,0,0.0,15
asking,אשקלון,outdoor_area,3,13,23.1,4,15,26.7,1,3.6,11
asking,אשקלון,floor,13,13,100.0,13,15,86.7,0,-13.3,2
asking,אשקלון,number_of_levels,1,13,7.7,1,15,6.7,0,-1.0,14
