match_type,special_type,address_special,address_normal,parcel_key,date_special,date_normal,date_difference_days,rooms_special,rooms_normal,area_special,area_normal,area_difference_pct,floor_special,floor_normal,price_special,price_normal,price_delta,price_delta_pct,ppm_special,ppm_normal,ppm_delta,ppm_delta_pct,source_special,source_normal,source_id_special,source_id_normal
same_parcel,garden,אבן עזרא 61,נחלה 16,,2026-02-01,2021-09-14,1601,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,8.0,,846000.0,,,20270.0,10987.012987012988,9282.987012987012,0.8449054373522458,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,10913306940
same_parcel,garden,אבן עזרא 61,נחלה 16,,2026-02-01,2021-09-12,1603,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,9.0,,838000.0,,,20270.0,10883.116883116883,9386.883116883117,0.8625178997613364,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,,10913197050
same_parcel,garden,אבן עזרא 61,ניר עוז 14,,2026-02-01,2026-08-11,191,3.0,3.0,74.0,77.0,0.03896103896103896,0.0,,,,,,20270.0,11700.0,8570.0,0.7324786324786324,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,,,2026-02-01,2026-08-09,189,3.0,3.0,74.0,80.0,0.075,0.0,,,,,,20270.0,17750.0,2520.0,0.14197183098591548,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,גדוד הפורצים 6,,2026-02-01,2026-08-06,186,3.0,3.0,74.0,58.0,0.27586206896551724,0.0,,,,,,20270.0,15517.0,4753.0,0.30630920925436617,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,"אצ""ל 39",,2026-02-01,2026-08-03,183,3.0,3.0,74.0,76.0,0.02631578947368421,0.0,,,,,,20270.0,18421.0,1849.0,0.10037457249877857,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,יוספטל 13,,2026-02-01,2026-07-30,179,3.0,3.0,74.0,67.0,0.1044776119402985,0.0,,,,,,20270.0,14179.0,6091.0,0.42957895479229846,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,שפיה 17,,2026-02-01,2026-07-30,179,3.0,3.0,74.0,75.0,0.013333333333333334,0.0,,,,,,20270.0,20400.0,-130.0,-0.006372549019607843,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,יהודה הלוי 32,,2026-02-01,2026-07-30,179,3.0,3.0,74.0,68.0,0.08823529411764706,0.0,,,,,,20270.0,17132.0,3138.0,0.1831660051365865,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
same_parcel,garden,אבן עזרא 61,ניר עוז 14,,2026-02-01,2026-07-26,175,3.0,3.0,74.0,78.0,0.05128205128205128,0.0,,,,,,20270.0,11308.0,8962.0,0.7925362575168022,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,,
